country_unep,household_year,household_region,household_kg_per_capita_year,household_tonnes_year,household_confidence,food_service_year,food_service_kg_per_capita_year,food_service_tonnes_year,food_service_confidence,retail_year,retail_kg_per_capita_year,retail_tonnes_year,retail_confidence,average_temperature,temperature_year,temperature_unit,income_year,income_region,income_group,income_lending_category,gdp_per_capita_year,gdp_per_capita,population_density_year,population_density,tourism_arrivals_year,tourism_arrivals,access_to_electricity_year,access_to_electricity,total_population_year,total_population,total_food_waste_kg_per_capita_year,total_food_waste_tonnes_year,household_share_pct,food_service_share_pct,retail_share_pct,main_contributing_sector,tourists_per_resident,income_rank,population_size_category,temperature_band,gdp_per_capita_category,coverage_score,sector_share_total,log_gdp_per_capita,log_population_density,log_tourism_arrivals,log_total_population
Japan,2024,Eastern Asia,60,7398006.0,High Confidence,2024,12,1490488.0,High Confidence,2024,9,1098567.0,High Confidence,13.0,2024.0,Celsius,2024.0,East Asia & Pacific,High Income,,2024.0,32487.0778047567,2023.0,341.54455749932,2020.0,4115799.8046875,2023.0,100.0,2024.0,123975371.0,81,9987061.0,74.08,14.92,11.0,Household,0.03,4.0,Very Large (>100M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.0,10.388628464240043,5.8364017441291995,15.230343979402374,18.63559349093993
Mongolia,2024,Eastern Asia,18,60364.0,Medium Confidence,2024,30,101945.0,Very Low Confidence,2024,12,40813.0,Very Low Confidence,1.82,2024.0,Celsius,2024.0,East Asia & Pacific,Upper Middle Income,IBRD,2024.0,6750.6301157724,2023.0,2.23365125312889,2020.0,66900.0015258789,2023.0,100.0,2024.0,3524788.0,60,203122.0,29.72,50.19,20.09,Food Service,0.02,3.0,Small (1M-10M),Cold (<10°C),Lower-Middle GDP per Capita,9,100.0,8.817539253343423,1.1736119177175377,11.110969216495727,15.075331134280907
Republic of Korea,2024,Eastern Asia,95,4921086.0,Medium Confidence,2024,25,1280410.0,Very Low Confidence,2024,14,711981.0,Very Low Confidence,13.32,2024.0,Celsius,2024.0,East Asia & Pacific,High Income,,2024.0,36238.639908315,2023.0,529.842407786885,2020.0,2519000.0,2023.0,100.0,2024.0,51751065.0,134,6913477.0,71.18,18.52,10.3,Household,0.05,4.0,Large (50M-100M),Cool (10°C-20°C),High GDP per Capita,9,100.0,10.497908823802776,6.274465193364061,14.739372952317598,17.76195558893141
Belarus,2024,Eastern Europe,71,674104.0,Low Confidence,2024,17,164273.0,Low Confidence,2024,14,129564.0,Low Confidence,8.82,2024.0,Celsius,2024.0,Europe & Central Asia,Upper Middle Income,IBRD,2024.0,8317.63399913792,2023.0,45.217077292187,2020.0,3598000.0,2023.0,100.0,2024.0,9132629.0,102,967941.0,69.64,16.97,13.39,Household,0.39,3.0,Small (1M-10M),Cold (<10°C),Lower-Middle GDP per Capita,9,100.0,9.02625333753986,3.833349368147291,15.095888971424761,16.027364272425704
Bulgaria,2024,Eastern Europe,26,176280.0,Eurostat,2024,2,13560.0,Eurostat,2024,2,13560.0,Eurostat,13.05,2024.0,Celsius,2024.0,Europe & Central Asia,High Income,IBRD,2024.0,17596.0173663521,2023.0,59.3827929255711,2020.0,4973000.0,2023.0,100.0,2024.0,6441421.0,30,203400.0,86.67,6.67,6.67,Household,0.77,4.0,Small (1M-10M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.01,9.775484698844046,4.100704179015006,15.41953403878272,15.678259881159574
Czechia,2024,Eastern Europe,69,723810.0,Eurostat,2024,4,41960.0,Eurostat,2024,6,62940.0,Eurostat,10.06,2024.0,Celsius,2024.0,Europe & Central Asia,High Income,,2024.0,31823.3078290564,2023.0,140.785547662605,2019.0,37202000.0,2023.0,100.0,2024.0,10905028.0,79,828710.0,87.34,5.06,7.59,Household,3.41,4.0,Medium (10M-50M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,99.99,10.367985673905707,4.95431568832976,17.43187310811931,16.20473461694491
Hungary,2024,Eastern Europe,66,658020.0,Eurostat,2024,2,19940.0,Eurostat,2024,4,39880.0,Eurostat,13.1,2024.0,Celsius,2024.0,Europe & Central Asia,High Income,,2024.0,23292.3263882478,2023.0,105.108327854482,2020.0,31641000.0,2023.0,100.0,2024.0,9562065.0,72,717840.0,91.67,2.78,5.56,Household,3.31,4.0,Small (1M-10M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.01,10.055922177422188,4.664460533156882,17.269964337531423,16.073314370466054
Poland,2024,Eastern Europe,60,2391600.0,Eurostat,2024,5,199300.0,Eurostat,2024,8,318880.0,Eurostat,10.25,2024.0,Celsius,2024.0,Europe & Central Asia,High Income,IBRD,2024.0,25103.565661423,2023.0,119.787615502661,2019.0,88515000.0,2023.0,100.0,2024.0,36559233.0,73,2909780.0,82.19,6.85,10.96,Household,2.42,4.0,Medium (10M-50M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.0,10.130805007439758,4.794033759571775,18.298682598439036,17.414444352470774
Republic of Moldova,2024,Eastern Europe,71,231061.0,Low Confidence,2024,17,56308.0,Low Confidence,2024,14,44410.0,Low Confidence,12.69,2024.0,Celsius,2024.0,Europe & Central Asia,Upper Middle Income,IBRD,2024.0,7576.19589413326,2023.0,85.437584732506,2020.0,29000.0,2023.0,100.0,2024.0,2402306.0,102,331779.0,69.64,16.97,13.39,Household,0.01,3.0,Small (1M-10M),Cool (10°C-20°C),Lower-Middle GDP per Capita,9,100.0,8.93289847538274,4.459422589699331,10.275085591132715,14.691940083613245
Romania,2024,Eastern Europe,67,1323991.0,Low Confidence,2024,12,239125.0,Low Confidence,2024,10,189413.0,Low Confidence,11.9,2024.0,Celsius,2024.0,Europe & Central Asia,High Income,IBRD,2024.0,20080.2096215595,2023.0,82.8453668289291,2020.0,5023000.0,2023.0,100.0,2024.0,19051804.0,89,1752529.0,75.55,13.64,10.81,Household,0.26,4.0,Medium (10M-50M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.0,9.907539812108807,4.428974231273635,15.429538121816375,16.762672405704592
Russian Federation,2024,Eastern Europe,33,4829772.0,Medium Confidence,2024,8,1220199.0,Medium Confidence,2024,14,1985118.0,Medium Confidence,-2.82,2024.0,Celsius,2024.0,Europe & Central Asia,High Income,IBRD,2024.0,14889.0185546875,2023.0,8.78227219242749,2020.0,6359000.0,2023.0,100.0,2024.0,143533851.0,55,8035089.0,60.11,15.19,24.71,Household,0.04,4.0,Very Large (>100M),Cold (<10°C),Lower-Middle GDP per Capita,9,100.01,9.608446371794638,2.2805717875762297,15.665381847506962,18.78208146778237
Slovakia,2024,Eastern Europe,65,366600.0,Eurostat,2024,1,5640.0,Eurostat,2024,3,16920.0,Eurostat,10.54,2024.0,Celsius,2024.0,Europe & Central Asia,High Income,,2024.0,25992.6748502048,2023.0,112.868968386023,2018.0,15299000.0,2023.0,100.0,2024.0,5422069.0,69,389160.0,94.2,1.45,4.35,Household,2.82,4.0,Small (1M-10M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.0,10.165608512415336,4.735048387204967,16.543298090113264,15.505988219322589
Ukraine,2024,Eastern Europe,69,2758037.0,Low Confidence,2024,17,692291.0,Very Low Confidence,2024,8,313581.0,Very Low Confidence,10.85,2024.0,Celsius,2024.0,Europe & Central Asia,Upper Middle Income,IBRD,2024.0,5389.47314453125,2023.0,65.1239834311357,2020.0,3382000.0,2023.0,100.0,2024.0,37860221.0,94,3763909.0,73.28,18.39,8.33,Household,0.09,3.0,Medium (10M-50M),Cool (10°C-20°C),Lower-Middle GDP per Capita,9,100.0,8.592388441967179,4.191531516618109,15.033978104123646,17.44941156743666
Anguilla,2024,Latin America and the Caribbean,95,1892.0,Very Low Confidence,2024,23,456.0,Very Low Confidence,2024,14,288.0,Very Low Confidence,,,,,,,,,,,,,,,,,,132,2636.0,71.78,17.3,10.93,Household,,,,,,2,100.01,,,,
Antigua and Barbuda,2024,Latin America and the Caribbean,88,7922.0,Low Confidence,2024,42,3824.0,Very Low Confidence,2024,15,1355.0,Very Low Confidence,27.75,2024.0,Celsius,2024.0,Latin America & Caribbean,High Income,IBRD,2024.0,23542.4526945578,2023.0,212.081818181818,2020.0,384500.0,2023.0,100.0,2024.0,93772.0,145,13101.0,60.47,29.19,10.34,Household,4.1,4.0,Very Small (<1M),Hot (25°C-30°C),Upper-Middle GDP per Capita,9,100.0,10.066603043574384,5.361676214872437,12.859701668704687,11.44863224707669
Argentina,2024,Latin America and the Caribbean,91,4156798.0,Low Confidence,2024,48,2163862.0,Very Low Confidence,2024,3,125444.0,High Confidence,15.95,2024.0,Celsius,2024.0,Latin America & Caribbean,Upper Middle Income,IBRD,2024.0,13969.7836603737,2023.0,16.6399559321662,2019.0,7399000.0,2023.0,100.0,2024.0,45696159.0,142,6446104.0,64.49,33.57,1.95,Household,0.16,3.0,Medium (10M-50M),Cool (10°C-20°C),Lower-Middle GDP per Capita,9,100.01,9.544723546624267,2.8701665523990054,15.816855549061078,17.637524826075822
Aruba,2024,Latin America and the Caribbean,88,9682.0,Low Confidence,2024,42,4674.0,Very Low Confidence,2024,15,1656.0,Very Low Confidence,29.45,2024.0,Celsius,2024.0,Latin America & Caribbean,High Income,,2024.0,39498.5941293797,2023.0,596.438888888889,2019.0,1951000.0,2023.0,100.0,2024.0,107995.0,145,16012.0,60.47,29.19,10.34,Household,18.07,4.0,Very Small (<1M),Hot (25°C-30°C),High GDP per Capita,9,100.0,10.584045675630845,6.392652000564686,14.48385313216278,11.589849468383433
Bahamas,2024,Latin America and the Caribbean,88,36089.0,Low Confidence,2024,42,17421.0,Very Low Confidence,2024,15,6174.0,Very Low Confidence,26.54,2024.0,Celsius,2024.0,Latin America & Caribbean,High Income,,2024.0,39455.4466548546,2023.0,39.9040959040959,2020.0,1794500.0,2023.0,100.0,2024.0,401283.0,145,59684.0,60.47,29.19,10.34,Household,4.47,4.0,Very Small (<1M),Hot (25°C-30°C),High GDP per Capita,9,100.0,10.58295272622782,3.7112302023890678,14.400237546827933,12.90242468503903
Barbados,2024,Latin America and the Caribbean,88,24646.0,Low Confidence,2024,42,11897.0,Very Low Confidence,2024,15,4216.0,Very Low Confidence,26.88,2024.0,Celsius,2024.0,Latin America & Caribbean,High Income,IBRD,2024.0,26544.8707282621,2023.0,656.595348837209,2019.0,966000.0,2023.0,100.0,2024.0,282467.0,145,40759.0,60.47,29.19,10.34,Household,3.42,4.0,Very Small (<1M),Hot (25°C-30°C),Upper-Middle GDP per Capita,9,100.0,10.186629486448611,6.488589770780839,13.780920148390807,12.551320548816328
Belize,2024,Latin America and the Caribbean,53,21596.0,Medium Confidence,2024,48,19494.0,Very Low Confidence,2024,19,7792.0,Very Low Confidence,26.43,2024.0,Celsius,2024.0,Latin America & Caribbean,Upper Middle Income,Blend,2024.0,7681.24400583113,2023.0,18.0230600613766,2020.0,487000.0,2023.0,99.6,2024.0,417072.0,120,48882.0,44.18,39.88,15.94,Household,1.17,3.0,Very Small (<1M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0,8.946666971722303,2.9456519306841056,13.096021455450709,12.941016545411772
Bolivia (Plurin. State of),2024,Latin America and the Caribbean,90,1101625.0,Low Confidence,2024,48,583696.0,Very Low Confidence,2024,13,162803.0,Very Low Confidence,21.96,2024.0,Celsius,2024.0,Latin America & Caribbean,Lower Middle Income,IBRD,2024.0,4421.16609889999,2023.0,11.3026483891812,2020.0,323299.987792969,2023.0,99.8,2024.0,12413315.0,151,1848124.0,59.61,31.58,8.81,Household,0.03,2.0,Medium (10M-50M),Warm (20°C-25°C),Low GDP per Capita,9,100.0,8.394384922652256,2.509814555394761,12.686339019053642,16.334280325356044
"Bonaire, St. Eustatius & Saba",2024,Latin America and the Caribbean,95,2838.0,Very Low Confidence,2024,23,685.0,Very Low Confidence,2024,14,432.0,Very Low Confidence,,,,,,,,,,,,,,,,,,132,3955.0,71.76,17.32,10.92,Household,,,,,,2,100.0,,,,
Brazil,2024,Latin America and the Caribbean,94,20289630.0,Medium Confidence,2024,48,10237337.0,Very Low Confidence,2024,3,574161.0,Medium Confidence,25.92,2024.0,Celsius,2024.0,Latin America & Caribbean,Upper Middle Income,IBRD,2024.0,10310.5488778166,2023.0,25.2616884857157,2019.0,6353000.0,2023.0,99.8,2024.0,211998573.0,145,31101128.0,65.24,32.92,1.85,Household,0.03,3.0,Very Large (>100M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.01,9.24101979635958,3.268111165578163,15.664437857654608,19.17209010619857
British Virgin Islands,2024,Latin America and the Caribbean,88,2641.0,Low Confidence,2024,42,1275.0,Very Low Confidence,2024,15,452.0,Very Low Confidence,,,,2024.0,Latin America & Caribbean,High Income,,,,2023.0,259.9,2020.0,83000.0,2023.0,100.0,2024.0,39471.0,145,4368.0,60.46,29.19,10.35,Household,2.1,4.0,Very Small (<1M),,,7,100.0,,5.564137192142683,11.326607934898927,10.583346838769138
Cayman Islands,2024,Latin America and the Caribbean,88,6162.0,Low Confidence,2024,42,2974.0,Very Low Confidence,2024,15,1054.0,Very Low Confidence,28.64,2024.0,Celsius,2024.0,Latin America & Caribbean,High Income,,2023.0,99143.5180243123,2023.0,304.325,2020.0,660000.0,2023.0,100.0,2024.0,74457.0,145,10190.0,60.47,29.19,10.34,Household,8.86,4.0,Very Small (<1M),Hot (25°C-30°C),High GDP per Capita,9,100.0,11.504333842699916,5.721376783057152,13.399996629152975,11.217990487006878
Chile,2024,Latin America and the Caribbean,88,1725226.0,Low Confidence,2024,42,832815.0,Very Low Confidence,2024,15,295144.0,Very Low Confidence,10.06,2024.0,Celsius,2024.0,Latin America & Caribbean,High Income,IBRD,2024.0,16709.8893972307,2023.0,26.4647249005172,2019.0,5431000.0,2023.0,100.0,2024.0,19764771.0,145,2853185.0,60.47,29.19,10.34,Household,0.27,4.0,Medium (10M-50M),Cool (10°C-20°C),Upper-Middle GDP per Capita,9,100.0,9.723815845620694,3.3129024503787616,15.507634021145119,16.799411719103762
Colombia,2024,Latin America and the Caribbean,70,3653302.0,Medium Confidence,2024,48,2466261.0,Very Low Confidence,2024,19,985795.0,Very Low Confidence,25.32,2024.0,Celsius,2024.0,Latin America & Caribbean,Upper Middle Income,IBRD,2024.0,7919.20886825345,2023.0,47.1574150518251,2020.0,1396000.0,2023.0,98.7,2024.0,52886363.0,137,7105358.0,51.42,34.71,13.87,Household,0.03,3.0,Large (50M-100M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0,8.977172856714953,3.8744751253869887,14.149122278636577,17.78365609422411
Costa Rica,2024,Latin America and the Caribbean,91,473131.0,Low Confidence,2024,48,246293.0,Very Low Confidence,2024,19,98446.0,Very Low Confidence,25.41,2024.0,Celsius,2024.0,Latin America & Caribbean,High Income,IBRD,2024.0,18587.1532203482,2023.0,99.9906972189581,2020.0,1146500.0,2023.0,100.0,2024.0,5129910.0,158,817870.0,57.85,30.11,12.04,Household,0.22,4.0,Small (1M-10M),Hot (25°C-30°C),Upper-Middle GDP per Capita,9,100.0,9.83027973314207,4.615028405856184,13.952225253499515,15.450598868068584
Cuba,2024,Latin America and the Caribbean,91,1023900.0,Low Confidence,2024,48,533001.0,Very Low Confidence,2024,19,213047.0,Very Low Confidence,26.69,2024.0,Celsius,2024.0,Latin America & Caribbean,Upper Middle Income,,2020.0,9605.27914559614,2023.0,106.165038535645,2020.0,1086000.0,2023.0,100.0,2024.0,10979783.0,158,1769948.0,57.85,30.11,12.04,Household,0.1,3.0,Medium (10M-50M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0,9.170172241306625,4.674370062380736,13.898012700285907,16.211566321721012
Curaçao,2024,Latin America and the Caribbean,88,16724.0,Low Confidence,2024,42,8073.0,Very Low Confidence,2024,15,2861.0,Very Low Confidence,,,,2024.0,Latin America & Caribbean,High Income,,2024.0,22832.8953958667,2023.0,348.31981981982,2019.0,1293000.0,2023.0,100.0,2024.0,155967.0,145,27658.0,60.47,29.19,10.34,Household,8.29,4.0,Very Small (<1M),,Upper-Middle GDP per Capita,8,100.0,10.036001351156616,5.855987891742754,14.0724764311489,11.957406136984877
Dominica,2024,Latin America and the Caribbean,91,6394.0,Low Confidence,2024,48,3328.0,Very Low Confidence,2024,19,1330.0,Very Low Confidence,27.2,2024.0,Celsius,2024.0,Latin America & Caribbean,Upper Middle Income,Blend,2024.0,10405.2787777582,2023.0,88.68,2020.0,140000.0,2023.0,100.0,2024.0,66205.0,158,11052.0,57.85,30.11,12.03,Household,2.11,3.0,Very Small (<1M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,99.99,9.250164631589248,4.496247778763904,11.849404844423074,11.100526372259134
Dominican Republic,2024,Latin America and the Caribbean,160,1799544.0,Medium Confidence,2024,48,533952.0,Very Low Confidence,2024,19,213427.0,Very Low Confidence,25.26,2024.0,Celsius,2024.0,Latin America & Caribbean,Upper Middle Income,IBRD,2024.0,10875.6618443092,2023.0,235.098143035751,2020.0,2748000.0,2023.0,99.6,2024.0,11427557.0,227,2546923.0,70.66,20.96,8.38,Household,0.24,3.0,Medium (10M-50M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0,9.294374657551938,5.464247578900651,14.82638429622533,16.251538364650983
Ecuador,2024,Latin America and the Caribbean,96,1727535.0,Medium Confidence,2024,48,855845.0,Very Low Confidence,2024,19,342092.0,Very Low Confidence,22.29,2024.0,Celsius,2024.0,Latin America & Caribbean,Upper Middle Income,IBRD,2024.0,6874.705739766,2023.0,72.3952448059269,2019.0,2108000.0,2023.0,98.7,2024.0,18135478.0,163,2925472.0,59.05,29.25,11.69,Household,0.12,3.0,Medium (10M-50M),Warm (20°C-25°C),Lower-Middle GDP per Capita,9,99.99,8.83574957032318,4.295859148861457,14.561250663026579,16.71338074336383
El Salvador,2024,Latin America and the Caribbean,91,579084.0,Low Confidence,2024,48,301448.0,Very Low Confidence,2024,19,120492.0,Very Low Confidence,25.86,2024.0,Celsius,2024.0,Latin America & Caribbean,Upper Middle Income,IBRD,2024.0,5579.65969165029,2023.0,304.518532818533,2020.0,707000.0,2023.0,98.3,2024.0,6338193.0,158,1001024.0,57.85,30.11,12.04,Household,0.11,3.0,Small (1M-10M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0,8.627062272697502,5.722010440662122,13.468787359304866,15.662104427789485
Falkland Islands (Malvinas),2024,Latin America and the Caribbean,95,,Very Low Confidence,2024,23,,Very Low Confidence,2024,14,,Very Low Confidence,,,,,,,,,,,,,,,,,,132,,,,,No Data,,,,,,2,,,,,
French Guiana,2024,Latin America and the Caribbean,95,28375.0,Very Low Confidence,2024,23,6845.0,Very Low Confidence,2024,14,4319.0,Very Low Confidence,,,,,,,,,,,,,,,,,,132,39539.0,71.76,17.31,10.92,Household,,,,,,2,99.99,,,,
Grenada,2024,Latin America and the Caribbean,91,11874.0,Low Confidence,2024,48,6181.0,Very Low Confidence,2024,19,2471.0,Very Low Confidence,26.76,2024.0,Celsius,2024.0,Latin America & Caribbean,Upper Middle Income,Blend,2024.0,11705.0902976658,2023.0,344.355882352941,2020.0,217000.0,2023.0,94.4,2024.0,117207.0,158,20526.0,57.85,30.11,12.04,Household,1.85,3.0,Very Small (<1M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0,9.367864523614838,5.844575428408428,12.28765724080691,11.671705413181149
Guadeloupe,2024,Latin America and the Caribbean,95,37834.0,Very Low Confidence,2024,23,9127.0,Very Low Confidence,2024,14,5759.0,Very Low Confidence,,,,,,,,,,,,,,,,,,132,52720.0,71.76,17.31,10.92,Household,,,,,,2,99.99,,,,
Guatemala,2024,Latin America and the Caribbean,91,1629472.0,Low Confidence,2024,48,848238.0,Very Low Confidence,2024,19,339051.0,Very Low Confidence,24.38,2024.0,Celsius,2024.0,Latin America & Caribbean,Upper Middle Income,IBRD,2024.0,6150.02571438505,2023.0,169.138092571855,2020.0,594000.0,2023.0,100.0,2024.0,18406359.0,158,2816761.0,57.85,30.11,12.04,Household,0.03,3.0,Medium (10M-50M),Warm (20°C-25°C),Lower-Middle GDP per Capita,9,100.0,8.724374129720692,5.13661041655187,13.29463628184505,16.728206815029175
Guyana,2024,Latin America and the Caribbean,88,71298.0,Low Confidence,2024,42,34417.0,Very Low Confidence,2024,15,12197.0,Very Low Confidence,26.64,2024.0,Celsius,2024.0,Latin America & Caribbean,High Income,IDA,2024.0,29675.2443873316,2023.0,3.91376811594203,2020.0,86400.0015258789,2023.0,98.9,2024.0,831087.0,145,117912.0,60.47,29.19,10.34,Household,0.1,4.0,Very Small (<1M),Hot (25°C-30°C),Upper-Middle GDP per Capita,9,100.0,10.298102152459885,1.5920410845325919,11.366754546459672,13.630490964741174
Haiti,2024,Latin America and the Caribbean,90,1044831.0,Low Confidence,2024,48,553603.0,Very Low Confidence,2024,13,154410.0,Very Low Confidence,25.59,2024.0,Celsius,2024.0,Latin America & Caribbean,Lower Middle Income,IDA,2024.0,2142.62330526788,2023.0,422.256821480406,2019.0,938000.0,2023.0,51.3,2024.0,11772557.0,151,1752844.0,59.61,31.58,8.81,Household,0.08,2.0,Medium (10M-50M),Hot (25°C-30°C),Low GDP per Capita,9,100.0,7.670252809584305,6.0479791377892305,13.751506294085875,16.281281787823747
